２　国籍・地域別　港別　入国外国人,,,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全国,北海道,,,,,,,,,,,,青森県,,,岩手県,宮城県,,秋田県,,山形県,,福島県,,茨城県,,,,埼玉県,千葉県,,,,東京都,,,,,神奈川県,,,,新潟県,,,富山県,,石川県,,,,静岡県,,,,愛知県,,,,,三重県,京都府,大阪府,,,兵庫県,,,,和歌山県,,鳥取県,,鳥取県・島根県,島根県,岡山県,,,広島県,,,,,,山口県,,,,,徳島県,,香川県,,,愛媛県,,,高知県,,福岡県,,,,,佐賀県,,長崎県,,,,,,熊本県,,大分県,,,宮崎県,,,鹿児島県,,,,,沖縄県,,,,,,,,,,
シンガポール,"593,997 ",2 ,63 ,9 ,0 ,0 ,0 ,"28,473 ",0 ,47 ,13 ,6 ,0 ,65 ,0 ,0 ,2 ,137 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,"195,969 ",0 ,3 ,"154,758 ",0 ,2 ,0 ,0 ,0 ,81 ,0 ,0 ,16 ,6 ,0 ,98 ,40 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,"19,257 ",0 ,0 ,0 ,1 ,0 ,29 ,"159,884",   0 ,   0 ,736,0,0,0,0,0,6,11,0,32,0,0,0,0,0,3,82,0,0,0,12,0,0,0,0,0,64,0,3,6,0,42,1,11,0,10,306,"26,483",0,15,0,7,"1,355",2,7,0,22,3,2,0,0,0,0,4,160,45,0,0,0,116,0,0,0,0,0,44,"5,422",5,0,0
スリランカ,"40,502 ",0 ,0 ,0 ,0 ,0 ,0 ,35 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"27,857 ",0 ,0 ,"5,251 ",0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,"1,904 ",0 ,0 ,0 ,0 ,0 ,2 ,"4,331",   0 ,   0 ,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"1,011",0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
タイ,"1,020,690 ",5 ,17 ,5 ,0 ,0 ,0 ,"74,671 ",0 ,24 ,56 ,1 ,0 ,43 ,0 ,0 ,3 ,863 ,0 ,0 ,9 ,0 ,0 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"379,514 ",0 ,14 ,"130,422 ",0 ,13 ,0 ,0 ,0 ,25 ,0 ,0 ,6 ,15 ,0 ,10 ,42 ,0 ,0 ,15 ,0 ,0 ,0 ,0 ,"49,553 ",0 ,0 ,0 ,0 ,0 ,17 ,"256,471",   0 ,   0 ,77,0,0,0,0,0,2,12,0,14,0,0,0,0,0,0,397,0,0,0,12,0,0,1,0,0,116,0,0,12,0,3,3,0,0,14,269,"121,351",0,2,0,53,324,0,47,0,17,42,0,2,0,0,0,0,230,10,0,0,0,4,0,3,0,0,0,7,"5,847",1,0,0
台湾,"4,173,929 ","8,576 ",78 ,2 ,0 ,0 ,0 ,"334,775 ",0 ,57 ,"24,727 ",8 ,0 ,60 ,"2,741 ",0 ,"10,564 ","97,171 ",0 ,"1,169 ",78 ,0 ,"2,115 ",0 ,2 ,"12,351 ",0 ,0 ,0 ,0 ,0 ,1 ,0 ,"1,140,901 ",0 ,29 ,"436,550 ",0 ,0 ,0 ,0 ,0 ,599 ,0 ,0 ,"10,845 ","3,670 ",0 ,14 ,"39,006 ",0 ,446 ,50 ,0 ,0 ,0 ,0 ,"178,491 ",0 ,0 ,0 ,0 ,0 ,138 ,"1,047,888",   0 ,   0 ,265,0,0,0,0,299,282,58,166,"32,338",0,0,0,0,0,4,"14,112",0,0,0,53,0,0,"3,036",1,0,"24,276",0,5,"2,827",0,99,"11,120",6,0,898,"1,631","344,151",0,"12,761",0,63,"1,176",14,101,0,"21,057",33,0,6,0,0,0,171,465,518,0,0,0,263,0,2,0,0,299,265,"347,749",175,0,82
中国,"2,678,102 ",5 ,9 ,14 ,0 ,0 ,0 ,"27,563 ",0 ,36 ,202 ,51 ,0 ,6 ,3 ,1 ,3 ,"2,110 ",0 ,1 ,12 ,0 ,1 ,0 ,0 ,"4,412 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"943,672 ",0 ,25 ,"546,727 ",0 ,2 ,0 ,0 ,0 ,126 ,0 ,0 ,"1,777 ","2,969 ",0 ,12 ,438 ,0 ,0 ,"1,033 ",4 ,0 ,0 ,0 ,"91,633 ",0 ,1 ,0 ,0 ,0 ,52 ,"938,093",   0 ,   0 ,63,0,0,1,0,0,19,94,0,"3,074",0,0,0,0,0,14,"4,068",0,0,0,80,0,0,0,0,0,980,0,6,95,0,16,6,0,0,48,334,"78,599",0,"3,786",0,61,304,450,38,0,246,45,0,15,0,0,0,7,364,506,0,0,0,3,0,2,0,0,0,43,"23,740",2,0,0
中国〔香港〕,"2,049,954 ",0 ,94 ,2 ,0 ,0 ,0 ,"102,977 ",0 ,125 ,"1,670 ",9 ,0 ,357 ,0 ,0 ,12 ,201 ,0 ,1 ,56 ,0 ,0 ,0 ,0 ,31 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"590,231 ",0 ,2 ,"220,702 ",0 ,0 ,0 ,0 ,0 ,74 ,0 ,0 ,42 ,10 ,0 ,22 ,58 ,0 ,0 ,21 ,0 ,0 ,0 ,0 ,"98,205 ",0 ,0 ,0 ,0 ,0 ,50 ,"616,362",   0 ,   11 ,235,0,0,0,0,0,"2,783",70,0,77,0,0,0,0,0,15,84,0,0,0,17,0,0,0,0,0,"18,693",0,4,14,0,34,0,3,0,20,835,"254,699",4,28,0,40,"1,311",11,15,0,"5,449",40,0,3,0,0,0,0,474,"12,803",0,0,0,21,0,1,0,0,0,44,"120,773",29,0,0
中国〔その他〕,"74,371 ",0 ,0 ,0 ,0 ,0 ,0 ,"2,469 ",0 ,0 ,97 ,0 ,0 ,4 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"24,113 ",0 ,0 ,"4,674 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,2 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,"2,838 ",0 ,0 ,0 ,0 ,0 ,2 ,"26,197",   0 ,   0 ,4,0,0,0,0,0,151,1,0,14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,1,0,2,26,"7,939",0,6,0,0,21,0,0,0,215,2,0,0,0,0,0,0,20,309,0,0,0,2,0,0,0,0,0,4,"4,728",0,0,0
トルコ,"33,065 ",0 ,2 ,0 ,0 ,0 ,0 ,90 ,0 ,8 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"13,645 ",0 ,0 ,"14,496 ",0 ,1 ,0 ,0 ,0 ,16 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,431 ,0 ,0 ,0 ,0 ,0 ,16 ,"3,515",   0 ,   0 ,54,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,3,0,0,16,0,0,0,0,0,5,65,425,1,0,0,1,79,0,6,0,4,26,0,0,0,0,0,1,44,0,0,0,1,0,0,0,0,0,0,1,83,0,0,0
ネパール,"88,192 ",0 ,0 ,0 ,0 ,0 ,0 ,626 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,72 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"49,239 ",0 ,0 ,"8,161 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"7,408 ",0 ,0 ,0 ,0 ,0 ,0 ,"13,627",   0 ,   0 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,"8,254",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,762,0,0,0
バーレーン,"1,014 ",0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,560 ,0 ,0 ,268 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,169,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
パキスタン,"27,107 ",0 ,0 ,0 ,0 ,0 ,0 ,88 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"17,714 ",0 ,1 ,"3,842 ",0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,906 ,0 ,0 ,0 ,0 ,0 ,2 ,"4,056",   0 ,   0 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,7,443,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0
パレスチナ,321 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,155 ,0 ,0 ,117 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,47,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
バングラデシュ,"22,767 ",0 ,0 ,0 ,0 ,0 ,0 ,111 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"13,433 ",0 ,0 ,"4,777 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,650 ,0 ,0 ,0 ,0 ,0 ,2 ,"3,001",   0 ,   0 ,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,733,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
東ティモール,325 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,231 ,0 ,0 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,37,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィリピン,"734,011 ",0 ,26 ,2 ,0 ,0 ,0 ,"3,865 ",0 ,21 ,3 ,1 ,0 ,7 ,0 ,0 ,1 ,108 ,0 ,1 ,40 ,0 ,0 ,0 ,1 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,"348,410 ",0 ,1 ,"78,008 ",0 ,9 ,0 ,0 ,0 ,79 ,0 ,0 ,17 ,1 ,0 ,36 ,8 ,0 ,0 ,29 ,0 ,0 ,0 ,0 ,"86,239 ",1 ,0 ,0 ,0 ,0 ,29 ,"169,201",   0 ,   0 ,186,0,0,0,0,0,5,8,0,21,0,0,0,0,0,0,"1,318",0,0,0,6,0,0,0,0,0,25,0,0,72,1,19,4,3,0,0,127,"42,759",0,1,0,10,794,0,1,0,8,10,0,2,0,0,0,0,558,8,0,0,0,30,0,2,0,0,0,37,"1,844",3,0,0
ブータン,858 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,284 ,0 ,0 ,304 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31 ,0 ,0 ,0 ,0 ,0 ,0 ,158,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ブルネイ,"6,300 ",0 ,0 ,0 ,0 ,0 ,0 ,68 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"5,223 ",0 ,0 ,308 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,35 ,0 ,0 ,0 ,0 ,0 ,0 ,573,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,3,3,60,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
ベトナム,"602,337 ",5 ,0 ,0 ,0 ,0 ,0 ,"1,945 ",0 ,13 ,6 ,1 ,0 ,3 ,0 ,0 ,3 ,540 ,0 ,1 ,0 ,0 ,0 ,0 ,"2,279 ",11 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,"263,855 ",0 ,0 ,"38,763 ",0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,65 ,69 ,0 ,0 ,84 ,0 ,0 ,585 ,0 ,0 ,0 ,0 ,"75,065 ",0 ,0 ,0 ,0 ,0 ,1 ,"175,005",   0 ,   0 ,4,0,0,140,0,0,2,2,0,216,0,0,0,0,0,0,"2,633",0,0,0,6,0,0,1,0,0,23,0,0,315,0,0,0,0,0,0,94,"39,457",0,2,0,0,24,0,6,0,33,0,0,1,0,0,0,1,87,2,0,0,0,0,0,0,0,0,0,5,976,0,0,0
マレーシア,"420,981 ",6 ,20 ,5 ,0 ,0 ,0 ,"23,745 ",0 ,13 ,28 ,2 ,0 ,52 ,1 ,1 ,7 ,"1,290 ",1 ,0 ,14 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"139,026 ",0 ,2 ,"103,005 ",0 ,3 ,0 ,0 ,0 ,70 ,0 ,0 ,9 ,7 ,0 ,25 ,59 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,"7,671 ",2 ,0 ,0 ,0 ,0 ,22 ,"128,035",   0 ,   0 ,333,0,0,0,0,1,2,17,0,33,0,0,0,0,0,1,63,0,0,0,15,0,0,1,0,0,47,0,1,9,0,3,2,0,0,7,181,"13,146",3,10,0,9,640,0,5,0,55,6,0,1,0,0,0,0,185,31,1,0,0,74,0,1,0,0,0,45,"2,917",5,0,0
ミャンマー,"47,940 ",0 ,0 ,0 ,0 ,0 ,0 ,981 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"16,696 ",0 ,0 ,"10,135 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,19 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,"4,817 ",0 ,0 ,0 ,0 ,0 ,1 ,"9,805",   0 ,   0 ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,2,"5,103",0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,119,0,0,0
モルディブ,632 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,346 ,0 ,0 ,162 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,84,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
モンゴル,"41,609 ",0 ,0 ,0 ,0 ,0 ,1 ,301 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"35,100 ",0 ,0 ,"1,012 ",0 ,0 ,0 ,0 ,0 ,76 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,757 ,0 ,0 ,0 ,0 ,0 ,15 ,"3,044",   0 ,   0 ,32,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0,0,5,13,973,0,1,0,1,20,0,3,0,3,2,0,107,0,0,0,2,26,1,0,0,0,0,0,0,0,0,0,0,52,0,0,0
ヨルダン,"1,663 ",0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,880 ,0 ,0 ,463 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,276,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
ラオス,"6,935 ",0 ,0 ,0 ,0 ,0 ,0 ,124 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,727 ",0 ,0 ,690 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,272 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,685",   0 ,   0 ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,383,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
レバノン,"1,196 ",0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,555 ,0 ,0 ,408 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,214,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ヨーロッパ,"1,764,823 ",10 ,579 ,300 ,0 ,0 ,0 ,"15,316 ",1 ,"1,025 ",76 ,195 ,60 ,160 ,0 ,2 ,4 ,317 ,0 ,0 ,293 ,0 ,0 ,0 ,6 ,21 ,1 ,0 ,0 ,0 ,1 ,9 ,0 ,"660,357 ",1 ,174 ,"750,994 ",0 ,11 ,0 ,0 ,7 ,643 ,1 ,2 ,106 ,16 ,67 ,"1,428 ",267 ,11 ,0 ,85 ,522 ,0 ,0 ,0 ,"14,062 ",27 ,1 ,1 ,0 ,34 ,947 ,"241,178",   3 ,   3 ,"1,083",1,3,0,1,0,92,756,0,112,3,0,2,0,0,76,741,2,1,27,281,0,1,2,0,3,"1,262",0,32,86,0,251,0,453,8,104,"6,621","36,115",194,23,2,227,"6,310",9,179,0,394,364,0,15,0,0,5,35,"2,503",594,0,0,3,"1,507",0,11,20,2,0,495,"14,120",368,0,0
アイスランド,"1,646 ",0 ,2 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,490 ,0 ,0 ,876 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,0 ,0 ,0 ,0 ,202,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
アイルランド,"23,800 ",0 ,4 ,9 ,0 ,0 ,0 ,221 ,0 ,15 ,0 ,7 ,0 ,4 ,0 ,0 ,0 ,3 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"9,901 ",0 ,3 ,"9,747 ",0 ,1 ,0 ,0 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,41 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,149 ,1 ,0 ,0 ,0 ,0 ,12 ,"2,932",   0 ,   0 ,20,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,15,0,1,0,0,3,0,9,0,2,57,309,0,0,0,2,107,0,0,0,3,1,0,0,0,0,0,0,36,3,0,0,0,29,0,1,0,0,0,2,115,6,0,0
アゼルバイジャン,"1,308 ",0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,599 ,0 ,0 ,564 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,113,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
アルバニア,717 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,330 ,0 ,0 ,329 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,39,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
